timestamp,open,high,low,close,volume
2019-04-30 13:30:00,130.3700,130.4900,130.1300,130.1350,713369
2019-04-30 13:00:00,130.1900,130.4500,130.1600,130.3650,1128456
2019-04-30 12:30:00,129.9000,130.2700,129.8900,130.1850,915481
2019-04-30 12:00:00,129.5900,130.0300,129.5800,129.9000,1148055
2019-04-30 11:30:00,129.8500,129.8800,129.3947,129.5800,1925560
2019-04-30 11:00:00,130.0000,130.1650,129.7400,129.8600,1514694
2019-04-30 10:30:00,130.4500,130.6800,129.8600,130.0000,2098355
2019-04-30 10:00:00,129.8100,130.4930,129.4100,130.4550,2839209
2019-04-29 16:00:00,129.9800,130.1100,129.7100,129.7400,2145885
2019-04-29 15:30:00,129.9800,130.0300,129.9200,129.9850,687902
2019-04-29 15:00:00,130.0400,130.0500,129.8900,129.9731,696599
2019-04-29 14:30:00,129.8700,130.1400,129.8500,130.0306,1006511
2019-04-29 14:00:00,129.9200,129.9395,129.7700,129.8600,580563
2019-04-29 13:30:00,129.7947,129.9400,129.7100,129.9200,672915
2019-04-29 13:00:00,129.7400,129.9000,129.7300,129.7949,527000
2019-04-29 12:30:00,129.5250,129.7600,129.4900,129.7303,700864
2019-04-29 12:00:00,129.6600,129.7300,129.4900,129.5250,759434
2019-04-29 11:30:00,129.8500,129.9100,129.5200,129.6550,990168
2019-04-29 11:00:00,129.6900,129.9350,129.5400,129.8500,1240003
2019-04-29 10:30:00,129.8200,129.8400,129.3500,129.6800,1056131
2019-04-29 10:00:00,129.9000,130.1800,129.4384,129.8100,2764936
2019-04-26 16:00:00,129.6000,129.9100,129.5650,129.8900,2608196
2019-04-26 15:30:00,129.7500,129.8600,129.5800,129.6000,953468
2019-04-26 15:00:00,129.7700,129.8200,129.6800,129.7400,692703
2019-04-26 14:30:00,129.4600,129.8900,129.3800,129.7710,936423
2019-04-26 14:00:00,129.6899,129.7167,129.4300,129.4650,835999
2019-04-26 13:30:00,129.6800,129.7000,129.5200,129.6800,685328
2019-04-26 13:00:00,129.9000,129.9800,129.6600,129.6838,719033
2019-04-26 12:30:00,129.7800,130.0257,129.7300,129.8950,986814
2019-04-26 12:00:00,129.5900,130.0400,129.5150,129.7800,1324814
2019-04-26 11:30:00,129.4550,129.7300,129.2450,129.6000,1247657
2019-04-26 11:00:00,129.3400,129.6300,129.1700,129.4500,1754831
2019-04-26 10:30:00,129.3050,129.3600,129.0200,129.3400,1632804
2019-04-26 10:00:00,129.8000,130.5152,129.0800,129.3000,4783841
2019-04-25 16:00:00,129.5600,129.5950,129.0800,129.0800,2986784
2019-04-25 15:30:00,129.8150,129.8150,129.3600,129.5000,1371772
2019-04-25 15:00:00,129.5800,129.8900,129.5450,129.8150,1496720
2019-04-25 14:30:00,129.4800,129.8200,129.4350,129.5800,1117417
2019-04-25 14:00:00,129.2050,129.4800,129.1300,129.4700,854995
2019-04-25 13:30:00,129.2823,129.3600,129.0800,129.2050,990334
2019-04-25 13:00:00,129.5800,129.6950,129.1400,129.2800,1226027
2019-04-25 12:30:00,129.6700,129.8150,129.5800,129.5850,1335461
2019-04-25 12:00:00,129.8800,130.1800,129.6600,129.6724,1874115
2019-04-25 11:30:00,129.8700,129.9700,129.4200,129.8800,2117817
2019-04-25 11:00:00,129.5400,129.9600,129.1200,129.8800,2467210
2019-04-25 10:30:00,130.1300,130.3400,128.8300,129.5475,5493744
2019-04-25 10:00:00,130.0600,131.3700,129.0700,130.1400,11365146
2019-04-24 16:00:00,125.3790,125.4600,125.0000,125.0900,3789938
2019-04-24 15:30:00,125.2300,125.4150,125.1700,125.3700,1603030
2019-04-24 15:00:00,125.0900,125.2800,125.0100,125.2300,1005695
2019-04-24 14:30:00,125.0600,125.2200,125.0050,125.1000,1107371
2019-04-24 14:00:00,125.1500,125.1700,125.0400,125.0700,669245
2019-04-24 13:30:00,125.0400,125.1600,124.9900,125.1434,696033
2019-04-24 13:00:00,125.0800,125.1900,124.9732,125.0356,1019289
2019-04-24 12:30:00,124.9432,125.1100,124.8600,125.0800,943246
2019-04-24 12:00:00,124.9500,125.1400,124.8750,124.9400,1084199
